Date,BAJAJ-AUTO.NS,HEROMOTOCO.NS,zscore,s1Buy,s1Sell,s1Profit,s1Performance,s2buy,s2Sell,s2Profit,s2Performance
2015-11-23,1939.404541015625,2091.20458984375,38.93832190313147,,,,0.0,,,,0.0
2015-11-24,1904.0797119140625,2098.1044921875,24.6810681530705,,1904.0797119140625,,0.0,2098.1044921875,,,0.0
2015-11-26,1882.05419921875,2132.486328125,16.757641857166114,,,,0.0,,,,0.0
2015-11-27,1881.82373046875,2144.978515625,12.868079415653266,,,,0.0,,,,0.0
2015-11-30,1905.963134765625,2140.774658203125,11.429474764203315,,,,0.0,,,,0.0
2015-12-01,1894.7391357421875,2124.3173828125,9.708300385985613,,,,0.0,,,,0.0
2015-12-02,1922.376220703125,2122.7705078125,9.274443037259427,,,,0.0,,,,0.0
2015-12-03,1906.693359375,2076.25390625,8.950349190796574,,,,0.0,,,,0.0
2015-12-04,1900.8123779296875,2076.25390625,7.6110256428352265,,,,0.0,,,,0.0
2015-12-07,1883.28466796875,2080.417236328125,5.9394242800785015,,,,0.0,,,,0.0
2015-12-08,1893.2012939453125,2063.64306640625,6.159768542018898,,,,0.0,,,,0.0
2015-12-09,1836.8126220703125,2019.6240234375,4.883469379026221,,,,0.0,,,,0.0
2015-12-10,1878.287353515625,2021.1707763671875,5.8404305562008405,,,,0.0,,,,0.0
2015-12-11,1857.53076171875,2002.77001953125,5.086506372843096,,,,0.0,,,,0.0
2015-12-14,1852.111083984375,2011.177490234375,4.064724698672621,,,,0.0,,,,0.0
2015-12-15,1873.7135009765625,2036.59716796875,3.5830877987433216,,,,0.0,,,,0.0
2015-12-16,1885.55224609375,2058.487060546875,2.917614262195434,,,,0.0,,,,0.0
2015-12-17,1945.8236083984375,2105.71826171875,3.2373391931089626,,,,0.0,,,,0.0
2015-12-18,1898.5059814453125,2096.359375,1.5214769354037372,,,,0.0,,,,0.0
2015-12-21,1913.8426513671875,2139.82275390625,0.5218761894764885,,,,0.0,,,,0.0
2015-12-22,1903.6571044921875,2117.9326171875,0.8069908134072994,,,,0.0,,,,0.0
2015-12-23,1901.4654541015625,2124.15869140625,0.45062919394387174,1901.4654541015625,,2.6142578125,2.6142578125,,2124.15869140625,26.05419921875,26.05419921875
2015-12-24,1908.76904296875,2138.593505859375,0.20777652011301165,,,,2.6142578125,,,,26.05419921875
2015-12-28,1916.187744140625,2148.904296875,0.12474142402565166,,,,2.6142578125,,,,26.05419921875
2015-12-29,1945.32373046875,2166.749755859375,0.5758799872163439,,,,2.6142578125,,,,26.05419921875
2015-12-30,1932.7159423828125,2151.7197265625,0.5518422168790011,,,,2.6142578125,,,,26.05419921875
2015-12-31,1946.515380859375,2136.76953125,1.466379913345042,,1946.515380859375,,2.6142578125,2136.76953125,,,26.05419921875
2016-01-01,1935.752685546875,2130.384765625,1.1496935633530758,,,,2.6142578125,,,,26.05419921875
2016-01-04,1909.1151123046875,2092.115966796875,1.3350516341932561,,,,2.6142578125,,,,26.05419921875
2016-01-05,1923.7216796875,2075.50048828125,2.2968545036422725,,,,2.6142578125,,,,26.05419921875
2016-01-06,1910.7677001953125,2044.8455810546875,2.6518353165266513,,,,2.6142578125,,,,26.05419921875
2016-01-07,1859.837158203125,1998.765380859375,2.0996961393294136,,,,2.6142578125,,,,26.05419921875
2016-01-08,1826.4727783203125,1974.614013671875,1.4804778489428732,,,,2.6142578125,,,,26.05419921875
2016-01-11,1814.672119140625,1987.1456298828125,0.44509156792106686,1814.672119140625,,131.84326171875,134.45751953125,,1987.1456298828125,-149.6239013671875,-123.5697021484375
2016-01-12,1802.2567138671875,1956.8084716796875,0.9962569780480903,,,,134.45751953125,,,,-123.5697021484375
2016-01-13,1821.744873046875,1961.9638671875,1.472147570716307,,1821.744873046875,,134.45751953125,1961.9638671875,,,-123.5697021484375
2016-01-14,1816.171142578125,1933.29248046875,2.159142596343853,,,,134.45751953125,,,,-123.5697021484375
2016-01-15,1785.18994140625,1925.519287109375,1.0192507364079264,,,,134.45751953125,,,,-123.5697021484375
2016-01-18,1729.6463623046875,1931.705810546875,-1.4880347775925165,1729.6463623046875,,92.0985107421875,226.5560302734375,,1931.705810546875,-30.258056640625,-153.8277587890625
2016-01-19,1742.25439453125,1969.1810302734375,-2.1546398061574066,1742.25439453125,,,226.5560302734375,,1969.1810302734375,,-153.8277587890625
2016-01-20,1751.5179443359375,1973.7020263671875,-1.7469546929233435,,,,226.5560302734375,,,,-153.8277587890625
2016-01-21,1747.36669921875,1958.949951171875,-1.233952050012587,,,,226.5560302734375,,,,-153.8277587890625
2016-01-22,1782.6529541015625,2055.39404296875,-2.992280391612304,,,,226.5560302734375,,,,-153.8277587890625
2016-01-25,1789.1488037109375,2002.8095703125,-0.7309061365532828,,,,226.5560302734375,,,,-153.8277587890625
2016-01-27,1770.3526611328125,1968.90380859375,-0.21785173159143043,,1770.3526611328125,28.0982666015625,254.654296875,1968.90380859375,,0.2772216796875,-153.550537109375
2016-01-28,1740.0247802734375,1934.9183349609375,-0.1880781710623244,,,,254.654296875,,,,-153.550537109375
2016-01-29,1800.4114990234375,2034.891845703125,-1.2723546679071662,1800.4114990234375,,,254.654296875,,2034.891845703125,,-153.550537109375
2016-02-01,1789.6099853515625,2011.0584716796875,-0.7626914257508237,,,,254.654296875,,,,-153.550537109375
2016-02-02,1817.4398193359375,1997.3372802734375,0.8330893898271153,,1817.4398193359375,17.0283203125,271.6826171875,1997.3372802734375,,37.5545654296875,-115.9959716796875
